ROTACIÓN DUANA;;;;;;
MEDICAMENTO;MOLECULA;PROMEDIO MES;STOCK FARMACIA;PEDIDO 60 DIAS;;STOCK BODEGA
5-FLUORACILO 2.5% CREMA | TUBO X 15g. QUIFARMA;FLUOROURACILO;1;3;0;;83
5-FLUORACILO 5% UNGUENTO | TUBO X 30 GR. QUIFARMA;FLUOROURACILO;5;11;0;;43
ABACAVIR 300MG TABLETA | CAJA X 30. EUROPACK;ABACAVIR;885;1470;300;;3890
ABACAVIR+LAMIVUDINA 600+300MG TABLETA | CAJA X 30. EUROPACK;ABACAVIR+LAMIVUDINA;480;660;300;;15670
ACEITE DE RICINO 92.4g LIQUIDO ORAL USP | FRASCO X 30mL. PRODUCTOS DROGAM;ACEITE DE RICINO;1;4;0;;0
ACETAMINOFEN 150mg/5ml JARABE | FRASCO X 60ML. LAPROFF;ACETAMINOFEN;47;88;6;;11893
ACETAMINOFEN 500MG TABLETA | CAJA X 100. LAFRANCOL;ACETAMINOFEN;30677;53707;7647;;871790
ACETATO DE ALUMINIO 0.059% LOCION | FRASCO X 120ML. LICOL;ALUMINIO ACETATO;187;308;66;;8202
ACETATO DE ALUMINIO Ph4.2MG SOBRE | CAJA X 25 SOBRES. WINTHROOP;ALUMINIO ACETATO;128;289;0;;8993
ACETAZOLAMIDA 250MG TABLETA | CAJA X 30. PROCAPS;ACETAZOLAMIDA;10;38;0;;210
ACICLOVIR 100MG/5ML JARABE | FRASCO X 90ML. GEN-FAR S.A;ACICLOVIR;0;2;0;;103
ACICLOVIR 200MG TABLETA | CAJA X 24. LA SANTE;ACICLOVIR;412;14;810;;387
ACICLOVIR 200MG TABLETA | CAJA X 25. GEN-FAR S.A;ACICLOVIR;128;1025;0;;16604
ACICLOVIR 5% UNGUENTO | TUBO X 15GR. GEN-FAR S.A;ACICLOVIR;20;33;7;;498
ACICLOVIR 800MG TABLETA | CAJA X 10. GEN-FAR S.A;ACICLOVIR;394;934;0;;24686
ACIDO ACETILSALICILICO 100 MG TABLETA | CAJA X 900. GEN-FAR S.A;ACETIL SALICILICO ACIDO;2548;4639;457;;1060610
ACIDO FOLICO 1MG TABLETA | CAJA X 500. ECAR;ACIDO FOLICO;4020;6835;1205;;13460
ACIDO FOLICO 5 MG TABLETA | CAJA X 100. ECAR;ACIDO FOLICO;90;185;0;;113189
ACIDO FUSIDICO 2% CREMA | TUBO X 15G. GEN-FAR S.A;ACIDO FUSIDICO;64;155;0;;1340
ACIDO IBANDRONICO 150MG TABLETA CON RECUBIER | CAJA X 1. GEN-FAR S.A;ACIDO IBANDRONICO;46;90;2;;810
ACIDO RETINOICO 0,05 % CREMA | POTE X 30GR. QUIFARMA;RETINOICO ACIDO;34;52;16;;1724
ACIDO RETINOICO 0.05% LOCION | FRASCO X 60ML. QUIFARMA;RETINOICO ACIDO;12;20;4;;915
ACIDO VALPROICO 250 MG TABLETA O CAPSULA | CAJA X 300. PROCAPS;VALPROICO ACIDO;3063;0;6126;;440
ACRYLARM 0,25% GEL O JALEA | TUBO X 10G. SCANDINAVIA;ACIDO POLIACRILICO;46;97;0;;2419
ACTISURE 400 GR POLVO PARA DISOLVER | CAJA X 24. DUMIAN;COMPLEMENTO NUTRICIONAL;39;0;78;;72
ACTISURE NINOS VAINILLA 400 GR POLVO PARA DISOLVER | CAJA X 24. DUMIAN MEDICAL S.A.S;COMPLEMENTO NUTRICIONAL;10;56;0;;335
ADALAT OROS 30 MG TABLETA O CAPSULA DE LIBERACION | CAJA X 30. BAYER;NIFEDIPINO;105;210;0;;5932
ADS MYORITMO 0.60mg/mL GOTAS ORALES | FRASCO X 10mL. EXPOFARMA;BETAMETILDIGOXINA;2;9;0;;286
AEROVIAL CON INHALADOR 200MCG+6MCG FRASCO | CAJA X 1. NOVAMED;BUDESONIDA + FORMOTEROL;9;3;15;;51
AGUA ESTERIL   500ml REF:ARB0303 SOLUCION INYECTABLE | CAJA X 40 BOLSAS. BAXTER;AGUA ESTERIL;4;27;0;;523
AGUJA LAPICERO DE INSULINA B-D31X8G REF:320121 1 UNIDAD | . X 1. LABORATORIO BECTON DICKINSON;AGUJA QUIRURGICAS;150;200;100;;0
AIRMAX 100mcg BUCAL AEROSOL | CAJA X 1. CHALVER;SALBUTAMOL (SULFATO);120;96;144;;13331
ALBENDAZOL 200MG TABLETA | CAJA X 50. LAPROFF;ALBENDAZOL;615;1372;0;;13882
ALBENDAZOL SACHET 2% X 20ML SUSPENSION ORAL | CAJA X 12. LAPROFF;ALBENDAZOL;55;157;0;;4377
ALENDRONATO 70MG TABLETA | CAJA X 4. GEN-FAR S.A;ALENDRONATO SODICO;32;1136;0;;822
ALENDRONATO 70MG TABLETA | CAJA X 4. LA SANTE;ALENDRONATO SODICO;1147;853;1441;;21964
ALERTADINA 2MG TABLETA | CAJA X 20. QUIMICA PATRIC;TIZANIDINA;1032;1976;88;;355
ALFAMETILDOPA 250MG TABLETA | CAJA X 30. MEMPHIS;ALFAMETILDOPA;180;1290;0;;9730
ALMAX NX 200mg TABLETA | CAJA X 10. NEVOX FARMA;FENAZOPIRIDINA;0;20;0;;1080
ALOPURINOL 100MG TABLETA | CAJA X 100. LAFRANCOL;ALOPURINOL;790;1410;170;;31370
ALOPURINOL 300MG TABLETA | CAJA X 30. MEMPHIS;ALOPURINOL;690;10;1370;;16890
ALPEX ARIPRAX 15MG TABLETA | CAJA X 10. GARMISCH;ARIPIPRAZOL;75;180;0;;1860
ALPHAGAN 0.02% SOLUCION OFTALMICAS | FRASCO X 5mL. ALLERGAN;BRIMONIDINA;35;57;13;;867
ALPRAZOLAM 0.25MG TABLETA | CAJA X 30. EXPOFARMA;ALPRAZOLAM;1170;2548;0;;84293
ALPRAZOLAM 0.5 MG TABLETA | CAJA X 30. GEN-FAR S.A;ALPRAZOLAM;975;2286;0;;117823
ALSUCRAL TABLETAS  1g TABLETA | CAJA X 20. ROPSOHN;SUCRALFATO;3450;5905;995;;902
ALTRACINE A 1MG+50UI+10000UI UNGUENTO OFTALMICO | TUBO X 5GR. OFTALMOQUIMICAS;POLIMIXINA B+BACITRACINA+DEXAMETASONA;1;5;0;;5
AMBROXOL 15MG/5ML JARABE | FRASCO X 120ML. LAPROFF;AMBROXOL CLORHIDRATO;2;6;0;;1404
AMBROXOL 30MG/5ML JARABE | FRASCO X 120ML. LAPROFF;AMBROXOL CLORHIDRATO;33;72;0;;4604
AMDIPIN 10MG TABLETA | CAJA X 10. LAFRANCOL;AMLODIPINO;30;30;30;;0
AMIKACINA 500MG/2ML SOLUCION INYECTABLE | CAJA X 10. VITALIS;AMIKACINA;29;100;0;;5575
AMIODARONA 200MG TABLETA | CAJA X 10. LA SANTE;AMIODARONA CLORHIDRATO;45;330;0;;600
AMITRIPTILINA 25MG  TABLETA | CAJA X 300. LAPROFF;AMITRIPTILINA CLORHIDRATO;1155;0;2310;;450
AMITRIPTILINA 25 MG TABLETA | CAJA X 300. WINTHROOP;AMITRIPTILINA CLORHIDRATO;558;3985;0;;148350
AMLODIPINO 10MG TABLETA | CAJA X 300. GEN-FAR S.A;AMLODIPINO;150;250;50;;45430
AMLODIPINO 5MG TABLETA | CAJA X 300. GEN-FAR S.A;AMLODIPINO;930;1525;335;;868590
AMOXICILINA 250MG/5ML SUSPENSION ORAL | FRASCO X 100ML. LA SANTE;AMOXICILINA;9;29;0;;9
AMOXICILINA 500 MG CÁPSULA | CAJA X 50. LA SANTE;AMOXICILINA;1646;2979;313;;523
AMOXICILINA 500MG TABLETA O CAPSULA | CAJA X 50. GEN-FAR S.A;AMOXICILINA;68;365;0;;56190
AMPICILINA 250MG/5ML SUSPENSION ORAL | FRASCO X 60ML. GEN-FAR S.A;AMPICILINA;0;4;0;;0
AMPICILINA 500MG TABLETA O CAPSULA | CAJA X 100. LA SANTE;AMPICILINA;105;92;118;;200
AMPICILINA 500MG TABLETA O CAPSULA | CAJA X 250. GEN-FAR S.A;AMPICILINA;11;509;0;;40080
ANAFRANIL 25MG TABLETA | CAJA X 40. NOVARTIS;CLOMIPRAMINA;15;80;0;;597
ANAFRANIL RETARD 75MG TABLETA | CAJA X 10. NOVARTIS;CLOMIPRAMINA;150;240;60;;480
ANSIDEP 20MG/5ML SOLUCION ORAL | FRASCO X 70ML. EUROPACK;FLUOXETINA CLOHIDRATO;1;3;0;;625
APIDRA 100UI/mL  SOLUCION INYECTABLE | FRASCO X 10ml. SANOFI-AVENTIS;INSULINA GLULISINA;9;0;18;;42
APIDRA CARTUCHO (OPTICLICK) 3ML SOLUCION INYECTABLE | CAJA X 1. SANOFI-AVENTIS;INSULINA ANALOGA DE ACCION CORTA;2;4;0;;73
APLICADORES CON ALGODON PTE X 100 1 UNIDAD | . X 1. DUMIAN MEDICAL S.A.S;MATERIAL MEDICOQUIRURGICO;9;5;13;;9
APOSITO POLISKIN 10 X 12 CM (4X4.75) REF: 6641 1 UNIDAD | CAJA X 1. COVIDIEN COLOMBIA S.A;CURACIONES QUIRURGICAS;1;0;2;;600
APOSITO TRANSP. 10X12.5CM REF:6641 CX50 1 UNIDAD | . X 1. COVIDIEN COLOMBIA S.A;CURACIONES QUIRURGICAS;3;10;0;;546
APROVEL 300MG TABLETA | CAJA X 28. SANOFI-AVENTIS;IRBESARTAN;29;54;4;;1008
AQUASOL E 400UI TABLETA | CAJA X 30. PROCAPS;VITAMINA E;15;70;0;;178075
ARTRICLOX 7.5MG TABLETA | CAJA X 10. GARMISCH;MELOXICAM;1425;6210;0;;9670
ASPROMIO 20mcg AEROSOL | FRASCO X 10ml. CHALVER;IPRATROPIO BROMURO;89;51;127;;13769
ATAZANAVIR 200 MG CAPSULA | CAJA X 60. EUROPACK;ATAZANAVIR;90;120;60;;1590
ATAZANAVIR 300 MG CAPSULA | CAJA X 30. EUROPACK;ATAZANAVIR;195;420;0;;5630
ATIVAN 1mg TABLETA | CAJA X 30. PFIZER;LORAZEPAM;340;550;130;;9180
ATORVASTATINA 20MG TABLETA | CAJA X 10. GEN-FAR S.A;ATORVASTATINA;0;3300;0;;94840
ATORVASTATINA 40 MG TABLETA | CAJA X 150. GEN-FAR S.A;ATORVASTATINA;550;1770;0;;343280
ATORVAT 20MG TABLETA | CAJA X 300. DUMIAN MEDICAL S.A.S;ATORVASTATINA;3848;4735;2961;;600
ATROVENT 0.025% SOLUCION PARA INHALACION | FRASCO X 20ML. BOEHRINGER;IPRATROPIO BROMURO;1;0;2;;251
AZATIOPRINA 50 MG TABLETA | CAJA X 100. NEXT PHARMA SOURCING S.A.S.;AZATIOPRINA;776;1479;73;;31800
AZITROMICINA 200MG/5ML SUSPENSION ORAL | FRASCO X 15ML. GEN-FAR S.A;AZITROMICINA;0;9;0;;368
AZITROMICINA 500MG TABLETA | CAJA X 3. GEN-FAR S.A;AZITROMICINA;47;609;0;;56245
AZITROMICINA 500 MG TABLETA | CAJA X 3. LA SANTE;AZITROMICINA;394;152;636;;121
AZTROBAC 200MG/5ML SUSPENSION ORAL | FRASCO X 15mL. BIOQUIFAR;AZITROMICINA;0;13;0;;12
BACTRODERM BUCOFARINGEO .08G SOLUCION ORAL | FRASCO X 120ML. ECAR;YODOPOVIDONA;1;8;0;;176
BACTRODERM BUCOFARINGEO 10% SOLUCION ORAL | FRASCO X 120ML. ECAR;YODOPOVIDONA;3;25;0;;481
BAJALENGUAS DE MADERA 1 UNIDAD | CAJA X 20. PHARMEUROPEA DE COLOMBIA;MATERIAL MEDICOQUIRURGICO;3;6;0;;1604
BARACLUDE 0.5MG TABLETA | CAJA X 30. BRISTOL;ENTECAVIR;30;30;30;;240
BARRERA DE COLOSTOMIA 45 MM REF:125144 CX5 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BARRERA  DE COLOSTOMIA;18;30;6;;12
BARRERA DE COLOSTOMIA # 50 REF:13181 1 UNIDAD | CAJA X 5. ORDENES Y SUMINISTROS;CURACIONES QUIRURGICAS;0;6;0;;14
BARRERA DE COLOSTOMIA 57 FLEXIBLE REF.401612 CX5 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BARRERA  DE COLOSTOMIA;12;1;23;;5
BARRERA DE COLOSTOMIA # 60 MM REF: 13191 1 UNIDAD | CAJA X 5. ORDENES Y SUMINISTROS;CURACIONES QUIRURGICAS;64;143;0;;34
BARRERA DE COLOSTOMIA 70 MM REF:400949 CX5 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BARRERA  DE COLOSTOMIA;4;16;0;;31
BCG INMUCYST 1,8X10,8-19,2X10,8 SOLUCION INYECTABLE | FRASCO X 1. UROCCIDENTE E.U;BACILO CALMETTE GUERIN/GLUTAMATO MONOSA;2;0;4;;2
BECLOMAR INHALADOR NASAL 50MCG AEROSOL | FRASCO X 200DOSIS. BIOTOSCANA;BECLOMETASONA DIPROPIONATO;14;39;0;;5231
BENZOATO DE BENCILO 30% LOCION | FRASCO X 120ML. TECNOQUIMICAS;BENCILO BENZOATO;5;10;0;;59
BETAHISTINA 8MG TABLETA | CAJA X 20. GEN-FAR S.A;BETAHISTINA;0;600;0;;32110
BETALOC ZOK 50mg TABLETA O GRAGEA | FRASCO X 30. ASTRA ZENECA;METOPROLOL SUCCINATO;360;600;120;;26760
BETAMETASONA  0.05% CREMA | TUBO X 20GR. LAFRANCOL;BETAMETASONA;26;69;0;;1886
BETAMETASONA 0.1% CREMA | TUBO X 40GR. GEN-FAR S.A;BETAMETASONA;110;213;7;;3779
BETAMETASONA 4MG/ML SOLUCION INYECTABLE | CAJA X 1. PROCAPS;BETAMETASONA;0;10;0;;1940
BETAMETASONA 8MG/2ML SOLUCION INYECTABLE | CAJA X 10. GEN-FAR S.A;BETAMETASONA;2;7;0;;5921
BETOPROLOL  50MG TABLETA O GRAGEA | CAJA X 30. ROPSOHN;METOPROLOL  TARTRATO;1223;30;2416;;7080
BIOSPORIN 50MG CÁPSULA | CAJA X 50. BIOTOSCANA;CICLOSPORINA;60;188;0;;625
BIPERIDENO 2MG TABLETA | CAJA X 100. TECNOQUIMICAS;BIPERIDENO;945;980;910;;123920
BLASKET 0.5 % SOLUCION OFTALMICAS | FRASCO X 5ML. BLASKOV;KETOTIFENO;28;27;29;;2974
BOLSA DE COLOSTOMIA 45 MM REF: 402533 CX10 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BOLSA DE COLOSTOMIA;12;1;23;;0
BOLSA DE COLOSTOMIA # 50 MM REF: 1692 1 UNIDAD | CAJA X 1. ORDENES Y SUMINISTROS;CURACIONES QUIRURGICAS;0;6;0;;19
BOLSA DE COLOSTOMIA 57 MM REF: 402534 CX10 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BOLSA DE COLOSTOMIA;21;18;24;;14
BOLSA DE COLOSTOMIA # 60 MM REF: 1693 1 UNIDAD | CAJA X 15. ORDENES Y SUMINISTROS;CURACIONES QUIRURGICAS;54;100;8;;142
BOLSA DE COLOSTOMIA 70 MM REF: 402535 CX10 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BOLSA DE COLOSTOMIA;7;10;4;;0
BOLSA DE DRENAJE UROSTOMIA #45REF 402550 C X 10 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BOLSA DE COLOSTOMIA;12;12;12;;8
BOLSA DE DRENAJE UROSTOMIA #57 REF 402551 1 UNIDAD | CAJA X 10. BOSTON MEDICAL DEVICES COLOMBI;BOLSA DE COLOSTOMIA;2;8;0;;16
BONAC 4% GEL O JALEA | TUBO X 30GR. SCANDINAVIA;ERITROMICINA;0;1;0;;243
BRILINTA 90mg TABLETA | CAJA X 30. ASTRA ZENECA;TICAGRELOR;0;100;0;;5490
BROMAZEPAN 6MG TABLETA | CAJA X 10. WINTHROOP;BROMAZEPAM;353;430;276;;6630
BROMOCRIPTINA 2.5MG TABLETA | CAJA X 240. CHALVER;BROMOCRIPTINA;720;897;543;;18346
BROMUX 100 MG TABLETA | CAJA X 20. GARMISCH;PINAVERIO;60;240;0;;28470
BUDEMAR BUCAL 100mcg AEROSOL | FRASCO X 200DOSIS. BIOTOSCANA;BUDESONIDA;3;5;1;;128
BUDEMAR DUO 200MCG+6MCG  AEROSOL | FRASCO X 120DOSIS. BIOTOSCANA;BUDESONIDA + FORMOTEROL;44;83;5;;1447
BUSPIRONA 10MG TABLETA | CAJA X 20. GEN-FAR S.A;BUSPIRONA;120;370;0;;1180
CALAMINA 8% LOCION | FRASCO X 120ML. LICOL;CALAMINA;10;21;0;;741
CALCITRIOL 0.25MG CAPSULA | CAJA X 30. PROCAPS;CALCITRIOL;6398;11495;1301;;379493
CALCITRIOL 0,50MG CAPSULA | CAJA X 30. SYNTHESIS;CALCITRIOL;5;0;10;;50
CALCITRIOL 0.50 MG TABLETA | CAJA X 30. PROCAPS;CALCITRIOL;2783;4680;886;;99120
CANDESARTAN 16MG TABLETA | CAJA X 14. GEN-FAR S.A;CANDESARTAN CILEXETILO;0;70;0;;3192
CARBAMAZEPINA 200 MG TABLETA | CAJA X 100. BUSSIE;CARBAMAZEPINA;3718;1665;5771;;874370
CARBAMAZEPINA RETARD 400MG TABLETA | CAJA X 20. TECNOQUIMICAS;CARBAMAZEPINA;495;980;10;;24110
CARBIDOPA+LEVODOPA 250/25mg TABLETA | CAJA X 250. MEMPHIS;LEVODOPA + CARBIDOPA;3130;5745;515;;19662
CARBOLIT 300 MG TABLETA O CAPSULA | CAJA X 30. BUSSIE;CARBONATO DE LITIO;675;100;1250;;18005
CARBON ACTIVADO 450mg TABLETA | FRASCO X 100. SAN JORGE;CARBON ACTIVADO;1105;30;2180;;1388
CARBONATO CALCIO + VITAMINA D3 600MG/200UI TABLETA | CAJA X 300. LAPROFF;CALCIO CARBONATO+VITAMINA D;14641;23589;5693;;370890
CARBONATO DE CALCIO 600MG TABLETA | CAJA X 300. LAPROFF;CARBONATO DE CALCIO;690;1495;0;;463205
CARBONATO DE CALCIO 600MG TABLETA | CAJA X 30. GEN-FAR S.A;CARBONATO DE CALCIO;90;0;180;;180
CARDIOASPIRINA 81MG TABLETA DE LIBERACION PROGRAMADA | FRASCO X 24. BAYER;ACETIL SALICILICO ACIDO;24;48;0;;9474
CARTIX 1500MG POLVO PARA DISOLVER | CAJA X 14. GARMISCH;GLUCOSAMINA SULFATO;60;97;23;;72112
CARVEDIL 12.5MG TABLETA | CAJA X 30. GARMISCH;CARVEDILOL;45;120;0;;115474
CARVEDIL 6.25MG TABLETA | CAJA X 30. GARMISCH;CARVEDILOL;375;755;0;;238888
CEFALEXINA 250MG/5ML SUSPENSION ORAL | FRASCO X 60ML. GEN-FAR S.A;CEFALEXINA;7;22;0;;413
CEFALEXINA  250MG/5ml SUSPENSION ORAL | FRASCO X 60ML. LA SANTE;CEFALEXINA;10;0;20;;0
CEFALEXINA 500MG TABLETA O CAPSULA | CAJA X 10. GEN-FAR S.A;CEFALEXINA;1521;3110;0;;338736
CEFTRIAXONA 1G POLVO PARA INYECCION | CAJA X 10. VITALIS;CEFTRIAXONA;0;7;0;;233
CEFTRIDELT 1GR POLVO PARA INYECCION | CAJA X 1. DELTA;CEFTRIAXONA;6;29;0;;0
CEFUROXIMA 500mg TABLETA | CAJA X 10. GEN-FAR S.A;CEFUROXIMA;22;200;0;;5430
CELLCEPT 250MG TABLETA CON RECUBIER | CAJA X 100. ROCHE;MICOFELONATO;150;150;150;;600
CELLCEPT 500MG TABLETA CON RECUBIER | CAJA X 50. ROCHE;MICOFELONATO;480;1040;0;;2200
CETAPHIL ULTRA HUMECTANTE . LOCION | FRASCO X 226 ML. GALDERMA;ALCOHOL CETILICO+LAURIL SULFATO DE SODIO;2;8;0;;27
CETIRIZINA 10mg TABLETA | CAJA X 10. GEN-FAR S.A;CETIRIZINA;6144;11199;1089;;88134
CETIRIZINA 1% 10MG GOTAS ORALES | FRASCO X 15ML. WINTHROOP;CETIRIZINA;5;11;0;;94
CETIRIZINA 5MG/5ML 0.1G JARABE | FRASCO X 60ml. LA SANTE;CETIRIZINA;74;145;3;;2436
CEUMID 500 MG TABLETA | CAJA X 30. SCANDINAVIA;LEVETIRACETAM;2018;3870;166;;48060
CIFLOBLAS 0.3% SOLUCION OFTALMICAS | FRASCO X 5ML. BLASKOV;CIPROFLOXACINA;14;32;0;;938
CIPLABUTOL 5mcg LIQUIDO PARA NEBULIZACION | FRASCO X 15mL. BIOTOSCANA;SALBUTAMOL (SULFATO);0;1;0;;2129
CIPLADANOGEN 200MG TABLETA | CAJA X 30. BIOTOSCANA;DANAZOL;0;60;0;;480
CIPLADINEX 400MG CAPSULA DE LIBERACION PROGRAMADA | FRASCO X 30. BIOTOSCANA;DIDANOSINA;270;540;0;;2760
CIPROFIBRATO 100MG TABLETA | CAJA X 10. LA SANTE;CIPROFIBRATO;30;0;60;;1300
CIPROFIBRATO 100 MG TABLETA | CAJA X 20. GEN-FAR S.A;CIPROFIBRATO;270;260;280;;39100
CIPROFLOXACINA 500MG TABLETA | CAJA X 100. LAFRANCOL;CIPROFLOXACINA;1533;3090;0;;181550
CIPROTERONA 50mg TABLETA | CAJA X 20. B.C.N MEDICAL;CIPROTERONA ACETATO;0;120;0;;2159
CITRO-K 1080MG TABLETA DE LIBERACION PROGRAMADA | FRASCO X 30. LICOL;POTASIO CITRATO;0;30;0;;0
CLARITROMICINA 250mg/5ml JARABE | FRASCO X 50ml. COASPHARMA;CLARITROMICINA;0;3;0;;9
CLARITROMICINA 250MG/5ML SUSPENSION ORAL | FRASCO X 50ML. LA SANTE;CLARITROMICINA;1;0;2;;20
CLARITROMICINA 500mg TABLETA | CAJA X 10. GEN-FAR S.A;CLARITROMICINA;339;598;80;;45475
CLENOX 80MG/0.8ML SOLUCION INYECTABLE | CAJA X 1. PROCAPS;ENOXAPARINA;0;100;0;;2265
CLINDAMICINA 2% CREMA VAGINAL | TUBO X 40g. GEN-FAR S.A;CLINDAMICINA;1;1;1;;59
CLINDAMICINA 2% CREMA VAGINAL | TUBO X 40GR. PROCAPS;CLINDAMICINA;2;7;0;;85
CLINDAMICINA 300mg CAPSULA | CAJA X 24. LA SANTE;CLINDAMICINA;308;364;252;;72
CLINDAMICINA 300MG CAPSULA | CAJA X 24. WINTHROOP;CLINDAMICINA;119;291;0;;4920
CLOBETAZOL 0.05% CREMA | TUBO X 30GR. GEN-FAR S.A;CLOBETASOL;162;251;73;;4917
CLONAZEPAM 2MG TABLETA | CAJA X 30. WINTHROOP;CLONAZEPAM;833;1713;0;;99174
